img_no,deeplift,gradcam,lime,shap
97,0.030882547897655217,0.010110852571332348,0.11704451766164913,0.050382306200194564
98,0.018304938779892962,0.011182323668049571,0.05306654625774871,0.026484027747987936
99,0.014180015691206572,0.009694096317541881,0.12014139197945785,0.04940492415574353
100,0.0329106952948431,0.03649863609078886,0.14988487981213247,0.09982365417931187
101,0.025096173169324953,0.0066647175467946075,0.16642806881323854,0.023867133020601266
102,0.014441350260106556,0.01013343342805167,0.03899338000643099,0.04061597878322956
103,0.013221868234401472,0.01043846091678913,0.0824605253130677,0.03418982472010652
104,0.022939629939937325,0.013899761624919635,0.13633138270645548,0.07420865412447063
105,0.014668911942433631,0.006524706467782295,0.08602799818649397,0.03498711971947792
106,0.00825173244159661,0.0379008609408891,0.03229782772077684,0.024187761480070857
107,0.013964749112421153,0.005328267812728882,0.1294221379796207,0.016768294873769293
108,0.009389783149589399,0.004362625020954954,0.026071586389748123,0.013514923889800213
109,0.005766271180459532,0.04844423925170224,0.07792042174003265,0.08202289995851492
110,0.030063498935743855,0.013791968117297534,0.11907732395042726,0.06204600872971466
111,0.014763467230079671,0.04903361789815984,0.18041987112866348,0.0690913425070231
112,0.009732010176338346,0.0005824316592287718,0.013946423639878486,0.03241292210457643
113,0.009952917296998745,0.005069688932337335,0.04564071626066393,0.018880338640699962
114,0.015194814197301077,0.00639837638666145,0.1002076546385944,0.026606576099133222
115,0.008299358974185388,0.006747655129230952,0.12722816017003008,0.04186513193567227
116,0.01920551180403552,0.00536914377333588,0.12137730036127475,0.057932194860071236
117,0.012550613136005095,0.012583618472268979,0.09629504608784392,0.061047948985132806
118,0.0047737924393589076,0.007604587992065127,0.06438898831667639,0.032760645540732554
119,0.02441638635609108,0.007129984008921535,0.05651758013523313,0.04051259390205297
120,0.009937686080493958,0.010451343550615173,0.023865653381068636,0.028178856631933553
121,0.013548497674495587,0.008456416776455226,0.09651693135077906,0.034117359756170265
122,0.016792338982959232,0.008362029323439112,0.11454404212609283,0.026939587244034616
123,0.0001350281451265477,0.02119265440194162,0.045618344336869815,0.08038434960821347
124,0.014131182007670513,0.0058054670126192415,0.06637114904274694,0.030661427251813717
125,0.005556150854205134,0.005994914349452851,0.05498646328225422,0.020769085583668315
126,0.0024277236220029753,0.056841471156135935,0.003885381253035454,0.06992794481508373
127,0.02266123959106709,0.015662715311771967,0.07313585150546245,0.06459592321348345
128,0.0257668889960944,0.007837464466816973,0.06620386675259611,0.05303683108741613
129,0.00034411293796435667,0.010662472758954019,0.06854237976164798,0.046307711383667044
130,0.00781400019947142,0.0032945935737872085,0.03434431260229132,0.012749072129942888
131,0.032532912468495656,0.030945446019339223,0.010065407767759191,0.049880686513821826
132,0.02707988226340115,0.009572598038595713,0.16396610183547744,0.03430617631412021
133,0.021140007811664974,0.019873895619740876,0.09009647764117873,0.04172920778761001
134,0.03536745090606773,0.04131989033546413,0.0578331916961351,0.04555757712723135
135,0.029040843424522896,0.032667057260456614,0.021538132949796944,0.07403056945528756
136,0.03204300687089629,0.025648191076620207,0.1771134983652499,0.0567277469838881
137,0.0018448686930135076,0.001704248525030602,0.0,0.024011119659884162
138,0.00610392425922235,0.012128621132555303,0.12607098333738617,0.06578373651250373
139,0.022654939525925552,0.013038243553190852,0.0707047759274382,0.06225117305237957
140,0.000555394694275721,0.0,0.021281994074542326,0.02613935335654199
141,0.021586941957390575,0.015281115911353808,0.08541680482790635,0.026771040184634724
142,0.02116312410355269,0.012372986831498756,0.044617173508200166,0.04355283562984097
